Gellish	English	Version:	9.0	27-okt-16	Dictionary+Knowledge about Roads		Buildings, civil and furniture																				
0	69	54	71	16	44	2	101	1	60	3	45	15	201	65	4	66	7	14	8	67	9	10	12	13	50	68	
Presentation sequence	UID of the languge	Language of the name of the left hand object	UID of language community	Language community for left hand object name	Simultaneous cardinalities	UID of left hand object	Name of left hand object	UID of idea	UID of relation type	Name of relation type	Simultaneous cardinalities	UID of right hand object	Name of right hand object	Partial definition	Full definition	UID of UoM	UoM	Remarks	Status	UID of successor of relation	Date of start of life	Date of latest change	Originator of latest change	Reference	UID of collection of ideas	Name of collection of ideas	
181	910036	English	195444	civil technology		45.434	road exit	1.047.630	1.146	is a kind of		45.411	carriageway	that is intended as an exit and connection to another road.	is a carriageway that is intended as an exit and connection to another road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
92	910036	English	195444	civil technology		45.435	shoulder	210.600.109	1.261	can be a part of a		45.411	carriageway						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
159	910036	English	195444	civil technology		45.435	shoulder	1.047.632	1.146	is a kind of		45.116	strip	of land that is located alongside a road. Typically hardened.	is a strip of land that is located alongside a road. Typically hardened.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
187	910036	English	195444	civil technology		45.436	deceleration lane	1.047.634	1.146	is a kind of		43.427	lane	that is intended for enabling vehicles to decelerate to a safe speed for exiting a road.	is a lane that is intended for enabling vehicles to decelerate to a safe speed for exiting a road.				proposed		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
188	910036	English	195444	civil technology		45.436	deceleration lane	210.600.112	1.261	can be a part of a		45.411	carriageway					is superfluous because exit is a kind of carriageway and thus it inherits that it can be part of a road.	inherited		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
141	910036	English	192936	technology		370.641	physical network	1.371.084	1.146	is a kind of		730.014	system	that has a coherent structure consisting of physical objects that have a role as nodes and physical objects that have a role as branches that connect the nodes.	is a system that has a coherent structure consisting of physical objects that have a role as nodes and physical objects that have a role as branches that connect the nodes.				accepted		22-feb-06	22-feb-06	Andries van Renssen	Andries van Renssen	100.535	facts about civil items	
178	910036	English	195444	civil technology		550.500	speed	1.550.513	1.146	is a kind of		551.012	rate	of travelling relative to a reference object. Typically relative to the surface of a road or the surface of the earth. It is a magnitude of a velocity irrespect of direction.	is a rate of travelling relative to a reference object. Typically relative to the surface of a road or the surface of the earth. It is a magnitude of a velocity irrespect of direction.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
180	910036	English	195444	civil technology		553.896	incoming traffic	1.561.258	1.146	is a kind of		550.033	ratio	between traffic that joins traffic on a road and that traffic before the joint.	is a ratio between traffic that joins traffic on a road and that traffic before the joint.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
73	910036	English	195444	civil technology		553.897	outgoing traffic	1.858.455	1.146	is a kind of		550.033	ratio	between a traffic intensity on an exit relative to the traffic intensity on the carriageway before the exit.	is a ratio between a traffic intensity on an exit relative to the traffic intensity on the carriageway before the exit.				proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
176	910036	English	195444	civil technology		553.898	traffic density	1.561.260	1.146	is a kind of		553.591	linear item density	of traffic. Typically measures as number of vehicles per time.	is a linear item density of traffic. Typically measures as number of vehicles per time.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
